refs
id	book	ch_start	vs_start	ch_end	vs_end	title	description	source	status	seq	topic_ids
18	Dan	12	10	12	10	Many purified	Many shall purify themselves and the wicked shall act wickedly.	HFW	Not-Validated		8
19	Rev	12	6	12	6	Woman flees 1,260 days	The woman flees into the wilderness, where she is nourished 1,260 days.	HFW	Not-Validated		8
20	Rev	12	13	12	17	Dragon wars with the remnant	The dragon persecutes the woman and wars with the rest of her offspring.	HFW	Not-Validated		8
21	Zec	13	8	13	9	A third refined	Two thirds cut off; a third refined as silver and gold.	HFW	Not-Validated		8
22	Rev	7	13	7	17	Out of the great tribulation	These are the ones coming out of the great tribulation; they washed their robes in the blood of the Lamb.	HFW	Not-Validated		8
23	Rev	8	13	9	21	Woes on the earth	Three woes; a third of mankind killed; the rest did not repent.	HFW	Not-Validated		9
24	Rev	15	1	15	1	Seven last plagues	Seven angels with seven plagues, which are the last, for with them the wrath of God is finished.	HFW	Not-Validated		9
25	Rev	16	1	16	21	Bowls of wrath	The seven bowls of the wrath of God poured out on the earth.	HFW	Not-Validated		9
26	Rev	14	6	14	11	Eternal gospel and the mark warning	Gospel to the nations; warning not to worship the beast or receive the mark.	HFW	Not-Validated		9
27	1Th	5	9	5	9	Not appointed to wrath	God has not destined us for wrath, but to obtain salvation through our Lord Jesus Christ.	HFW	Not-Validated		9
28	Jhn	3	36	3	36	Wrath remains	Whoever does not obey the Son shall not see life, but the wrath of God remains on him.	HFW	Not-Validated		9
29	Mat	24	14	24	14	Hated by all nations	This gospel of the kingdom will be proclaimed throughout the whole world as a testimony to all nations, and then the end will come.	HFW	Not-Validated		8|9
30	Rev	5	1	5	10	The Lamb is worthy	The Lamb who was slain is worthy to take the scroll and open its seals.	HFW	Validated		11
31	Mat	24	29	24	31	Immediately after the tribulation	Sun darkened; the Son of Man appears; angels gather the elect.	HFW	Not-Validated		12
32	Rev	19	11	19	16	The Word of God rides out	Heaven opened; He judges and makes war; King of kings and Lord of lords.	HFW	Validated		12
33	Act	1	11	1	11	This Jesus will come	This Jesus, who was taken up from you into heaven, will come in the same way as you saw him go.	HFW	Not-Validated		12
34	1Th	3	13	3	13	Coming with all his saints	The coming of our Lord Jesus with all his saints.	HFW	Not-Validated		12
35	1Th	4	14	4	17	Dead in Christ rise	The dead in Christ will rise first; then we who are alive will be caught up together with them.	HFW	Not-Validated		31
36	Rev	19	6	19	9	Marriage of the Lamb	The marriage of the Lamb has come, and his Bride has made herself ready.	HFW	Not-Validated		12
37	Rev	19	19	19	21	Beast and false prophet taken	The beast and the kings of the earth gather; the beast and the false prophet are thrown into the lake of fire.	HFW	Not-Validated		13
38	Rev	16	12	16	16	Kings gathered to Armageddon	Kings of the whole world gathered for battle on the great day of God the Almighty, to Armageddon.	HFW	Not-Validated		13
39	Zec	14	1	14	5	Feet on the Mount of Olives	The day of the Lord; His feet stand on the Mount of Olives; the Lord my God will come, and all the holy ones with him.	HFW	Not-Validated		13
40	Jol	3	1	3	2	Valley of Jehoshaphat	I will gather all the nations and bring them down to the Valley of Jehoshaphat.	HFW	Not-Validated		13
41	Ezk	38	16	38	16	Gog against my people	Gog comes up against my people Israel, so that the nations may know me.	HFW	Not-Validated		13
42	Ezk	39	1	39	8	Gog falls on the mountains	I will strike the bow from your left hand; you shall fall on the mountains of Israel.	HFW	Not-Validated		13
43	Ezk	39	11	39	13	Burial of Gog	A place for burial in Israel; the house of Israel will bury them, to cleanse the land.	HFW	Not-Validated		13
44	Jer	23	3	23	8	I will gather the remnant	I will gather the remnant of my flock out of all the countries; they shall dwell in their own land.	HFW	Not-Validated		14
45	Isa	11	11	11	12	Second time the remnant	The Lord will extend his hand a second time to recover the remnant; he will assemble the banished of Israel.	HFW	Not-Validated		14|18
46	Jer	31	31	31	34	New covenant with Israel	I will make a new covenant with the house of Israel and the house of Judah; I will write it on their hearts.	HFW	Not-Validated		15|18
47	Rev	20	1	20	6	Satan bound; saints reign	Satan bound a thousand years; those who share the first resurrection reign with Christ.	HFW	Not-Validated		17
48	Dan	7	13	7	14	Dominion given to the Son of Man	One like a son of man; to him was given dominion and a kingdom that shall not be destroyed.	HFW	Not-Validated		17
49	Dan	7	26	7	27	Kingdom to the saints	The court sits; the kingdom and the dominion shall be given to the people of the saints of the Most High.	HFW	Not-Validated		17
50	Rev	5	9	5	10	A kingdom and priests	You have made them a kingdom and priests to our God, and they shall reign on the earth.	HFW	Validated		11|17
51	Mat	19	28	19	28	Twelve thrones	In the new world, when the Son of Man sits on his glorious throne, you will sit on twelve thrones judging the twelve tribes of Israel.	HFW	Not-Validated		17
52	Luk	22	28	22	30	Eat and drink at my table	I assign to you a kingdom; you will sit on thrones judging the twelve tribes of Israel.	HFW	Not-Validated		17
53	Ezk	36	24	36	28	Gathered and given a new heart	I will take you from the nations; I will sprinkle clean water; a new heart and a new spirit.	HFW	Not-Validated		18
54	Ezk	36	33	36	36	The land rebuilt	On the day I cleanse you, I will cause the cities to be inhabited and the waste places rebuilt.	HFW	Not-Validated		18
55	Ezk	37	12	37	14	I will open your graves	I will bring you into the land of Israel and put my Spirit within you, and you shall live.	HFW	Not-Validated		18
56	Ezk	37	24	37	28	David my servant	My servant David shall be king over them; I will make a covenant of peace, an everlasting covenant.	HFW	Not-Validated		18
57	Deu	30	1	30	5	Return and gather	The Lord your God will restore your fortunes and gather you again from all the peoples.	HFW	Not-Validated		14|18
58	Hos	1	10	1	11	Judah and Israel together	The children of Judah and the children of Israel shall be gathered together and appoint one head.	HFW	Not-Validated		14|18
59	Rom	11	25	11	27	All Israel will be saved	A partial hardening has come upon Israel, until the fullness of the Gentiles; the Deliverer will come from Zion.	HFW	Not-Validated		15|18
60	Isa	2	2	2	4	Nations stream to the mountain	The mountain of the house of the Lord; they shall beat swords into ploughshares.	HFW	Not-Validated		19
61	Mic	4	1	4	4	Each under his vine	Many nations come to the mountain of the Lord; nation shall not lift up sword against nation.	HFW	Not-Validated		19
62	Zec	14	16	14	19	Tabernacles year by year	The nations that are left go up year after year to keep the Feast of Booths.	HFW	Not-Validated		19
63	Isa	11	6	11	9	The wolf with the lamb	The earth shall be full of the knowledge of the Lord as the waters cover the sea.	HFW	Not-Validated		19
64	Isa	9	6	9	7	Of the increase of his government	The government shall be upon his shoulder; of the increase of his government and of peace there will be no end.	HFW	Not-Validated		19
65	Psa	72	1	72	20	The king's son	May he have dominion from sea to sea; all nations serve him; the prayers of David are ended.	HFW	Not-Validated		19
66	Rev	20	7	20	10	Satan released	After the thousand years Satan is released, deceives the nations, and is thrown into the lake of fire.	HFW	Not-Validated		20
67	Rev	20	11	20	15	Great white throne	Great white throne; dead judged from the books; anyone not found in the book of life is thrown into the lake of fire.	HFW	Not-Validated		22
68	Mat	13	47	13	50	The net at the end of the age	The net gathers fish of every kind; at the end of the age the angels separate the evil from the righteous.	HFW	Not-Validated		22
69	Mat	25	31	25	34	Nations separated	When the Son of Man comes in his glory he will separate the nations; come, you who are blessed, inherit the kingdom.	HFW	Not-Validated		22
70	1Co	15	23	15	28	Kingdom delivered to the Father	Then the end: he puts down all rule; last enemy death; the kingdom delivered to the Father.	HFW	Not-Validated		23
71	Rev	21	1	21	4	New heaven and new earth	First heaven and earth passed away; he will dwell with them; death shall be no more.	HFW	Not-Validated		25
72	2Pe	3	10	3	13	We wait for new heavens	The day of the Lord; we wait for new heavens and a new earth in which righteousness dwells.	HFW	Not-Validated		25
73	Isa	65	17	65	19	I create new heavens	I create new heavens and a new earth; the former things shall not be remembered.	HFW	Not-Validated		25
74	Isa	66	22	66	23	The new heavens remain	The new heavens and the new earth that I make shall remain before me; all flesh shall come to worship.	HFW	Not-Validated		25
75	Rev	21	22	21	24	No temple in the city	Its temple is the Lord God and the Lamb; the nations walk by its light.	HFW	Not-Validated		26
76	Rev	21	2	21	5	The dwelling place of God	Holy city coming down; the dwelling place of God is with man; he is making all things new.	HFW	Not-Validated		26
77	Rev	22	3	22	5	They will see his face	No more curse; they will see his face; they will reign forever and ever.	HFW	Not-Validated		27
78	Rev	21	27	21	27	Only those in the book	Nothing unclean will ever enter, but only those who are written in the Lamb's book of life.	HFW	Not-Validated		27
79	Rev	2	7	2	7	The tree of life	To the one who conquers I will grant to eat of the tree of life, which is in the paradise of God.	HFW	Not-Validated		27
80	Ezk	37	12	37	14	The valley of dry bones come to life	Yahweh brings His own people from their grave into the land of Israel.		Validated	10	30
